구분,서비스명,자동_대상장애유형,자동_나이,자동_운동재활,제공기관 수
사회서비스,노인 장애인을 위한 건강안마서비스,*,,0,1
사회서비스,노인 질환자(지체_순환_신경) 및 장애인을 위한 맞춤형안마서비스 사업,*,,0,2
사회서비스,노인.장애인을 위한 시각장애인 안마서비스,시각,,0,1
사회서비스,노인·장애인 건강운동서비스,*,,1,9
사회서비스,뇌졸중 환자를 위한 찾아가는 맞춤재활서비스,뇌병변,,1,7
사회서비스,뇌졸증환자를 위한 찾아가는 맞춤형 재활치료 서비스,뇌병변,,1,2
사회서비스,뇌질환 및 암환자를 위한 찾아가는 맞춤재활서비스,뇌병변,,1,3
사회서비스,"뇌혈관질환자, 암환자를 위한 통합재활서비스",뇌병변,,1,3
사회서비스,발달 및 뇌병변 장애인을 위한 심리운동프로그램,뇌병변|지적·자폐,,1,30
사회서비스,발달장애인 부모 심리지원 서비스(개인상담모듈),지적·자폐,,0,11
사회서비스,발달장애인 부모 심리지원 서비스(집단상담모듈),지적·자폐,,0,2
사회서비스,성인 발달장애인 통합지원 서비스,지적·자폐,adult,0,5
사회서비스,성인·장애인 개인 맞춤형 통합형 재활지원서비스,*,adult,1,4
사회서비스,성인·장애인을 위한 신체재활서비스,*,adult,1,3
사회서비스,성인발달장애인을위한사회성프로그램,지적·자폐,adult,0,8
사회서비스,성인장애인 건강을 위한 맞춤운동서비스,*,adult,1,30
사회서비스,시각장애인 안마 서비스,시각,,0,106
사회서비스,시각장애인 안마서비스,시각,,0,276
사회서비스,시각장애인 안마서비스(손끝으로 전하는 힐링),시각,,0,39
사회서비스,시각장애인 안마치료서비스,시각,,0,10
사회서비스,시각장애인안마바우처,시각,,0,28
사회서비스,시각장애인안마서비스,시각,,0,410
사회서비스,시각장애인안마치료서비스,시각,,0,22
사회서비스,원주시 장애인 맞춤형 건강관리서비스,*,,0,1
사회서비스,장애가정 지원서비스,*,,0,4
사회서비스,장애가족 심리지원 서비스,*,,0,43
사회서비스,장애아동 기능발달 방문서비스,*,child,0,1
사회서비스,장애아동 보조기기렌탈서비스,*,child,0,1
사회서비스,장애아동 학습지원서비스,*,child,0,3
사회서비스,장애아동의 플레이핏(PlayFit)서비스,*,child,1,12
사회서비스,장애아동의 형제 마음건강지원서비스,*,child,0,26
사회서비스,장애아동청소년 자립생활역량강화서비스,*,child,0,5
사회서비스,장애아동청소년 홈티칭(Home Teaching) 사업,*,child,0,16
사회서비스,장애인 건강증진서비스,*,,1,2
사회서비스,장애인 맞춤형 운동처방서비스,*,,1,2
사회서비스,장애인 보조기구 렌탈 서비스,*,,0,1
사회서비스,장애인 보조기기 렌탈서비스,*,,0,66
사회서비스,장애인 재활승마,*,,1,1
사회서비스,장애인_노인을 위한 돌봄여행 서비스,*,,0,77
사회서비스,장애인·노인을 위한 돌봄여행 서비스,*,,0,2
사회서비스,장애인맞춤형운동서비스,*,,1,172
사회서비스,장애인비전형성서비스,*,,0,1
사회서비스,장애인운동재활서비스,*,,1,3
사회서비스,장애인을 위한 맞춤운동서비스,*,,1,2
사회서비스,장애인을 위한 쓰담쓰담 치유농업 서비스,*,,0,1
사회서비스,재가 장애인을 위한 찾아가는 맞춤형 건강증진 서비스,*,,1,20
사회서비스,지적장애인 사회성발달 심리지원서비스,지적·자폐,,0,2
사회서비스,청소년재활승마지원서비스,*,child,1,2
사회서비스,취약 장애인 여가지원서비스,*,,0,3
사회서비스,탈시설·재가 장애인 식사·영양관리서비스,*,,0,3
