승인취소구분,종목코드,시도코드,시군구코드,본인부담금액,바우처금액,승인금액,종목명,시작시간,종료시간,요일,강좌년도,예산구분,강좌월
1,03,11,11620,0,110000,110000,기타종목,13:10,20:00,0001000,2024,1,03
1,03,11,11260,0,110000,110000,기타종목,09:30,18:00,1111110,2026,1,07
1,03,28,28185,0,95000,95000,기타종목,17:40,18:30,0001000,2023,1,12
1,03,43,43110,0,95000,95000,기타종목,10:00,20:00,1111110,2023,1,06
1,21,51,51130,0,95000,95000,탁구,10:00,22:00,1111100,2023,1,01
1,10,44,44180,0,110000,110000,볼링,14:00,16:00,0010100,2024,1,05
1,22,47,47230,0,110000,110000,태권도,13:00,16:00,1111100,2024,1,08
1,25,41,41630,0,110000,110000,헬스,13:00,19:00,1111100,2025,1,08
1,07,52,52110,0,50000,50000,댄스(줌바 등),13:00,14:00,0001000,2026,1,04
6,12,11,11530,-40000,-110000,-150000,수영,14:00,18:30,1111100,2024,1,01
3,03,48,48250,0,110000,110000,기타종목,17:30,18:20,1111100,2026,1,08
1,25,44,44800,0,110000,110000,헬스,09:00,23:00,1111110,2026,1,02
3,98,46,46720,0,110000,110000,헬스,00:00,00:00,1111111,2024,1,02
1,25,51,51150,0,110000,110000,헬스,07:00,23:00,1111110,2024,1,02
1,03,47,47770,0,95000,95000,기타종목,13:00,16:00,0011000,2023,1,07
1,79,27,27230,16500,93500,110000,필라테스,09:00,18:00,1111100,2023,1,03
1,02,46,46770,0,110000,110000,골프,15:00,17:00,0100000,2025,1,09
1,112,11,11470,0,110000,110000,당구,02:00,21:00,1111100,2024,1,08
3,21,27,27230,0,110000,110000,탁구,08:00,23:00,1111111,2026,1,12
1,02,41,41150,0,110000,110000,골프,12:00,17:00,1111100,2026,1,03
1,03,51,51130,0,110000,110000,기타종목,09:00,18:10,1111100,2024,1,04
3,21,27,27230,0,110000,110000,탁구,09:00,11:00,1010000,2024,1,07
1,22,41,41190,0,110000,110000,태권도,12:00,21:30,1111100,2025,1,03
1,03,44,44200,0,110000,110000,기타종목,10:30,11:30,1111100,2025,1,05
1,07,29,29170,0,80000,80000,댄스(줌바 등),,,1111100,2019,1,07
1,12,48,48120,0,80000,80000,수영,08:00,08:50,0111000,2021,1,05
1,21,26,26380,0,110000,110000,탁구,13:00,15:50,1010100,2025,1,03
1,27,41,41150,0,110000,110000,줄넘기,10:00,21:00,1111110,2025,1,01
1,10,12,12780,0,110000,110000,볼링,13:00,15:00,0000011,2026,1,06
1,75,29,29200,0,110000,110000,합기도,15:00,23:00,1111110,2025,1,11
1,10,29,29110,0,110000,110000,볼링,10:00,11:00,1100000,2024,1,11
1,07,47,47170,0,110000,110000,댄스(줌바 등),15:00,16:00,0111100,2025,1,12
1,03,47,47730,0,110000,110000,기타종목,09:00,20:00,1111110,2025,1,04
1,03,29,29170,0,110000,110000,기타종목,00:00,00:00,1111111,2025,1,05
1,25,11,11380,0,85000,85000,헬스,11:00,23:00,1111100,2022,1,02
1,25,26,26320,0,46000,46000,헬스,06:00,21:50,1111111,2022,1,07
1,12,11,11710,0,33000,33000,수영,19:00,19:50,0101000,2025,1,07
1,03,47,47130,0,110000,110000,기타종목,10:00,19:30,1111111,2024,1,08
1,20,41,41210,0,85000,85000,축구(풋살),10:05,20:00,1111100,2022,1,08
1,21,48,48120,0,110000,110000,탁구,14:00,17:00,1010000,2025,1,04
1,12,48,48170,0,30000,30000,수영,06:00,21:00,1111110,2025,1,09
1,21,44,44130,0,80000,80000,탁구,10:30,22:30,1111100,2021,1,06
1,06,11,11530,0,110000,110000,롤러인라인,11:00,20:30,1111110,2024,1,10
1,22,26,26380,0,110000,110000,태권도,12:00,22:00,1111110,2025,1,09
1,12,41,41210,0,40000,40000,수영,15:00,15:50,1111100,2025,1,08
1,10,11,11680,0,95000,95000,볼링,10:00,18:00,1111111,2023,1,12
1,22,43,43110,40000,110000,150000,태권도,21:00,22:00,1111100,2025,1,01
1,25,48,48170,0,110000,110000,헬스,06:00,00:00,1111111,2025,1,08
1,03,48,48120,0,110000,110000,기타종목,09:00,19:00,1111111,2026,1,04
1,03,48,48170,0,110000,110000,기타종목,06:00,22:00,1111110,2024,1,08
1,82,41,41210,0,110000,110000,기타종목,08:00,20:00,1111110,2026,1,07
1,21,27,27110,0,110000,110000,탁구,10:00,22:00,1111110,2026,1,05
1,03,47,47920,0,110000,110000,기타종목,08:00,20:00,1110110,2026,1,05
1,12,11,11710,0,39000,39000,수영,19:00,19:50,1010100,2026,1,07
1,10,48,48120,0,95000,95000,볼링,12:00,14:00,0101000,2023,1,11
1,25,26,26140,0,85000,85000,헬스,07:00,23:00,1111110,2022,1,03
1,03,47,47190,0,110000,110000,기타종목,09:30,19:00,1111100,2026,1,07
3,21,27,27260,0,110000,110000,탁구,10:00,18:00,1111100,2025,1,08
1,03,41,41390,0,110000,110000,기타종목,09:00,19:00,1000000,2024,1,03
1,10,41,41270,0,110000,110000,볼링,10:00,18:00,1111111,2024,1,03
1,25,11,11710,19400,11500,27500,헬스,06:00,21:30,1111100,2024,1,09
1,02,41,41590,20000,110000,130000,골프,18:00,22:00,1010100,2025,1,11
1,03,48,48120,0,110000,110000,기타종목,08:00,21:00,1111111,2025,1,12
1,22,26,26170,0,110000,110000,태권도,13:30,22:30,1111100,2026,1,03
1,22,41,41610,0,110000,110000,태권도,10:00,12:00,0000110,2026,1,05
1,22,27,27140,0,110000,110000,태권도,13:00,19:30,0010100,2025,1,05
1,03,41,41130,0,110000,110000,기타종목,15:00,21:00,1111110,2026,1,01
1,09,46,46840,0,110000,110000,배드민턴,09:00,22:00,1111100,2026,1,10
1,12,51,51150,0,110000,110000,수영,09:00,19:00,1111110,2026,1,06
